Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2023-11-26,5.945738,5.950007,5.354036,5.448709,5.448709,101602171,-8.3594164425005,-0.083594164425005
2023-11-27,5.447056,5.920421,5.168009,5.892031,5.892031,167685858,8.169091707520545,0.0816909170752054
2023-11-28,5.889801,6.467875,5.527113,6.226901,6.226901,226362789,5.723453135343613,0.0572345313534361
2023-11-29,6.229542,6.639218,6.002793,6.027907,6.027907,140122437,-3.236754804767356,-0.0323675480476735
2023-11-30,6.027565,6.469835,5.939099,6.343431,6.343431,116408116,5.240358254120856,0.0524035825412085
2023-12-01,6.348458,7.215172,6.301093,7.097553,7.097553,208771748,11.799637014216676,0.1179963701421667
2023-12-02,7.097696,9.140806,7.059777,8.895112,8.895112,443613056,,0.2532393610546294
2023-12-03,8.886005,9.270373,8.084687,8.565281,8.565281,292914140,-3.609315997458928,-0.0360931599745892
2023-12-04,8.566584,9.772211,8.18774,8.872887,8.872887,527001211,3.575555904197049,0.0357555590419704
2023-12-05,8.883189,10.428108,8.349483,10.179109,10.179109,440138089,,0.1458845466419774
2023-12-06,10.182084,11.391647,9.325853,9.639699,9.639699,631800548,-5.326856466711524,-0.0532685646671152
2023-12-07,9.638758,10.425453,9.456496,9.520557,9.520557,319852383,-1.2263094477524918,-0.0122630944775249
2023-12-08,9.517749,9.93257,8.87377,9.288792,9.288792,302723395,-2.405579302416984,-0.0240557930241698
2023-12-09,9.288499,10.119487,9.247435,9.3238,9.3238,298905393,0.3800506411208148,0.0038005064112081
2023-12-10,9.323968,9.88644,9.081585,9.797282,9.797282,153860062,5.07631514822872,0.0507631514822872
2023-12-11,9.803036,11.006039,9.262627,10.836018,10.836018,537986357,10.537368219396509,0.105373682193965
2023-12-12,10.835087,12.957869,10.792338,12.092376,12.092376,670995490,11.603866217225576,0.1160386621722557
2023-12-13,12.091401,12.737121,10.887002,12.138078,12.138078,437076308,0.3860346704240538,0.0038603467042405
2023-12-14,12.13717,14.678219,11.982702,13.968343,13.968343,520069994,,0.1508731442337877
2023-12-15,13.967787,14.488299,12.928551,13.079998,13.079998,366190300,-6.3559746436568645,-0.0635597464365686
2023-12-16,13.080694,14.670882,12.800813,13.07397,13.07397,366360919,-0.0514040004299479,-0.0005140400042994
2023-12-17,13.075009,14.168084,12.701765,12.770629,12.770629,314616429,-2.327952508483934,-0.0232795250848393
2023-12-18,12.763863,13.01732,11.070781,12.827321,12.827321,436003701,0.4971692347371552,0.0049716923473715
2023-12-19,12.84221,13.428354,11.610442,11.734751,11.734751,305928442,-8.623585815836996,-0.0862358581583699
2023-12-20,11.733996,13.688371,11.6832,12.998694,12.998694,418530175,10.778067420510466,0.1077806742051046
2023-12-21,13.000501,13.092069,12.173438,12.862146,12.862146,298596013,-1.0642282170510249,-0.0106422821705102
2023-12-22,12.8614,13.28024,11.958526,12.442527,12.442527,210562029,-3.2568227409146724,-0.0325682274091467
2023-12-23,12.434062,12.434062,11.712528,12.294723,12.294723,132847815,-1.120623332906024,-0.0112062333290602
2023-12-24,12.29313,15.138523,12.038266,14.154617,14.154617,522321392,,0.1514249828969514
2023-12-25,14.160199,14.700827,13.594005,13.735193,13.735193,269244934,-3.001412621390418,-0.0300141262139041
2023-12-26,13.734678,13.937971,12.206865,12.745073,12.745073,255470717,-7.20515617475707,-0.0720515617475707
2023-12-27,12.740279,13.006641,12.02869,12.647949,12.647949,185432840,-0.7247094039306258,-0.0072470940393062
2023-12-28,12.653615,13.16606,11.690837,11.860696,11.860696,157147369,-6.2663436496210725,-0.0626634364962107
2023-12-29,11.862041,12.845842,11.45833,12.392606,12.392606,188657696,4.472796882088007,0.04472796882088
2023-12-30,12.394444,12.609585,11.650208,11.916396,11.916396,104852621,-3.8569539706662064,-0.038569539706662
2023-12-31,11.915598,12.562623,11.771592,11.858644,11.858644,128184565,-0.4779785286479057,-0.004779785286479
2024-01-01,11.876491,13.988146,11.715074,13.980627,13.980627,209261123,,0.1771681551394263
2024-01-02,13.983793,14.172458,12.566809,12.779896,12.779896,266641445,-8.609230700139795,-0.0860923070013979
2024-01-03,12.781536,13.197934,10.912034,12.170995,12.170995,326728698,-4.776742012853538,-0.0477674201285353
2024-01-04,12.176531,16.687235,12.026029,15.613759,15.613759,727893387,,0.2822830246151386
2024-01-05,15.605973,17.238867,14.68988,15.579823,15.579823,622800525,-0.1675640474323596,-0.0016756404743235
2024-01-06,15.581241,16.380562,14.033991,14.314079,14.314079,343781225,-8.13261280022561,-0.0813261280022561
2024-01-07,14.315986,15.336442,14.115995,14.35272,14.35272,267432015,0.2565942716065743,0.0025659427160657
2024-01-08,14.351923,14.351923,12.65221,14.211043,14.211043,398102406,-0.9816106176154876,-0.0098161061761548
2024-01-09,14.221458,16.511778,14.189819,14.92328,14.92328,540983768,4.934951114013766,0.0493495111401376
2024-01-10,14.926436,16.821041,14.122968,16.259155,16.259155,412967298,8.928581477855793,0.0892858147785579
2024-01-11,16.265627,17.260983,15.385081,16.037504,16.037504,399431193,-1.4024851301459211,-0.0140248513014592
2024-01-12,16.024607,17.129459,15.444054,16.445124,16.445124,377619641,2.624195401484731,0.0262419540148473
2024-01-13,16.424273,18.482538,15.517244,18.472866,18.472866,464124943,12.472959990375225,0.1247295999037522
2024-01-14,18.474028,19.867414,17.946863,18.116009,18.116009,431976154,-1.9379585220938405,-0.0193795852209384
2024-01-15,18.100365,20.264324,18.096262,19.027849,19.027849,454228555,5.124117662820611,0.0512411766282061
2024-01-16,19.014416,19.574162,18.701595,18.817617,18.817617,267288038,-1.0349989187151587,-0.0103499891871515
2024-01-17,18.817024,19.157724,17.884043,18.109419,18.109419,201643320,-3.7604511744258864,-0.0376045117442588
2024-01-18,18.11174,18.502188,16.818098,16.890972,16.890972,230258454,-6.740202763511399,-0.0674020276351139
2024-01-19,16.890457,18.463634,16.429827,17.840103,17.840103,368545953,5.622381916605321,0.0562238191660532
2024-01-20,17.83926,17.842367,17.039379,17.651781,17.651781,121394953,-1.0509348481943743,-0.0105093484819437
2024-01-21,17.655203,17.720816,16.810526,16.82407,16.82407,92473256,-4.707581102296027,-0.0470758110229602
2024-01-22,16.832773,17.137508,15.163948,15.241102,15.241102,245924381,-9.45578604309581,-0.0945578604309581
2024-01-23,15.241666,16.426889,13.883833,16.426889,16.426889,314869535,7.776203729959697,0.0777620372995969
2024-01-24,16.426374,16.90295,15.780598,16.368414,16.368414,261058292,-0.3528471956135772,-0.0035284719561357
2024-01-25,16.368328,16.368328,14.856393,15.14283,15.14283,151736552,-7.487007836108867,-0.0748700783610886
2024-01-26,15.142863,16.860716,15.057322,16.549603,16.549603,186395006,9.289788859609976,0.0928978885960997
2024-01-27,16.541668,17.403824,16.50288,17.048887,17.048887,147184980,3.066311087854013,0.0306631108785401
2024-01-28,17.049894,17.583168,16.74003,17.000572,17.000572,144682648,-0.2892803908341019,-0.002892803908341
2024-01-29,16.99925,18.082363,16.905592,17.947096,17.947096,188709404,5.575810697530764,0.0557581069753076
2024-01-30,17.947208,18.501831,17.49925,17.846733,17.846733,161174009,-0.5598363823498308,-0.0055983638234983
2024-01-31,17.850555,17.933882,15.989011,16.198563,16.198563,215324684,-9.254569395741475,-0.0925456939574147
2024-02-01,16.198389,17.255198,15.61009,16.907312,16.907312,195836335,4.376503120155975,0.0437650312015597
2024-02-02,16.908682,17.97938,16.850971,17.646605,17.646605,141674681,4.364166290429983,0.0436416629042998
2024-02-03,17.647158,18.477875,17.508982,17.737919,17.737919,132643998,0.5143094429142672,0.0051430944291426
2024-02-04,17.735743,17.952663,16.847975,17.354975,17.354975,137346818,-2.14689624223806,-0.0214689624223806
2024-02-05,17.356312,18.280769,17.255426,17.706797,17.706797,144728442,2.0193518069968013,0.020193518069968
2024-02-06,17.70779,17.952551,17.066389,17.391838,17.391838,122785256,-1.784254274531149,-0.0178425427453114
2024-02-07,17.402037,18.781887,17.156664,18.763859,18.763859,171313752,7.825647077982882,0.0782564707798288
2024-02-08,18.77951,20.543449,18.77951,20.173996,20.173996,300763600,7.425571806719135,0.0742557180671913
2024-02-09,20.169777,20.790743,19.489328,19.718653,19.718653,191872761,-2.236633553261397,-0.0223663355326139
2024-02-10,19.721491,20.91143,19.703085,19.872181,19.872181,192435786,0.7640903012860482,0.0076409030128604
2024-02-11,19.870316,20.100096,19.278879,19.395979,19.395979,133373282,-2.3871638478220403,-0.0238716384782204
2024-02-12,19.392801,19.931627,18.768749,19.706961,19.706961,173932578,1.619982590446842,0.0161998259044684
2024-02-13,19.709108,19.892595,18.783775,19.095879,19.095879,158834279,-3.111399054690859,-0.0311139905469085
2024-02-14,19.092609,19.657778,18.684227,19.224377,19.224377,161312870,0.6901518802380596,0.0069015188023805
2024-02-15,19.224705,19.461817,17.894964,18.243614,18.243614,231832857,-5.1032824690938,-0.051032824690938
2024-02-16,18.24428,18.687971,17.725712,18.606085,18.606085,148310185,1.983114707733056,0.0198311470773305
2024-02-17,18.603094,19.211798,18.082939,18.480604,18.480604,183179667,-0.6584388596864538,-0.0065843885968645
2024-02-18,18.47278,19.28421,18.264364,18.661057,18.661057,138266353,1.0192131341357358,0.0101921313413573
2024-02-19,18.663717,19.129959,18.509991,18.754017,18.754017,158444575,0.4838264532193813,0.0048382645321938
2024-02-20,18.753698,18.784012,17.308493,17.961864,17.961864,196275473,-4.222281920077851,-0.0422228192007785
2024-02-21,17.964325,17.964865,16.710838,17.337879,17.337879,152930323,-3.487166926672713,-0.0348716692667271
2024-02-22,17.344835,17.751373,16.82482,16.928947,16.928947,126910927,-2.397762792208741,-0.0239776279220874
2024-02-23,16.929667,17.19886,15.84991,16.369802,16.369802,145204132,-3.307005388824237,-0.0330700538882423
2024-02-24,16.365187,17.062912,16.067057,17.053953,17.053953,82935665,4.208726731934082,0.0420872673193408
2024-02-25,17.053894,17.44957,16.736641,16.73844,16.73844,87003987,-1.8497476294856707,-0.0184974762948567
2024-02-26,16.737951,17.495073,16.202921,17.362579,17.362579,144176589,3.731806838244426,0.0373180683824442
2024-02-27,17.362604,17.799107,16.796328,17.003176,17.003176,148986184,-2.0701272689281005,-0.020701272689281
2024-02-28,17.002449,17.414642,15.450081,16.513979,16.513979,271922815,-2.8729390689541225,-0.0287293906895412
2024-02-29,16.514139,18.208138,16.156351,16.517078,16.517078,290544137,0.0177968709116555,0.0001779687091165
