Date,Open,High,Low,Close,Adj Close,Volume
2023-05-13,0.487734,0.501172,0.482876,0.496734,0.496734,5252294
2023-05-14,0.496698,0.527038,0.490683,0.510957,0.510957,6585068
2023-05-15,0.510943,0.521752,0.502680,0.502680,0.502680,5377002
2023-05-16,0.502473,0.516640,0.499577,0.514955,0.514955,4888967
2023-05-17,0.514964,0.535484,0.493877,0.530391,0.530391,6410066
2023-05-18,0.530346,0.530346,0.500589,0.510700,0.510700,4959328
2023-05-19,0.510581,0.522325,0.507075,0.521735,0.521735,3946153
2023-05-20,0.521889,0.521911,0.507055,0.517638,0.517638,2698834
2023-05-21,0.517581,0.519484,0.497197,0.500259,0.500259,2669190
2023-05-22,0.500151,0.505556,0.491047,0.504137,0.504137,2634960
2023-05-23,0.504071,0.514237,0.501681,0.509225,0.509225,2542451
2023-05-24,0.509257,0.509442,0.482443,0.489049,0.489049,3305713
2023-05-25,0.489038,0.496589,0.476244,0.486943,0.486943,5567855
2023-05-26,0.486982,0.505183,0.480843,0.502028,0.502028,2876257
2023-05-27,0.501977,0.508270,0.497910,0.507993,0.507993,2787958
2023-05-28,0.507983,0.514353,0.504575,0.510729,0.510729,2293026
2023-05-29,0.510814,0.516684,0.499317,0.501624,0.501624,3611617
2023-05-30,0.501591,0.508278,0.495853,0.502894,0.502894,2890769
2023-05-31,0.502952,0.505085,0.484945,0.492767,0.492767,2896934
2023-06-01,0.492843,0.494798,0.483521,0.485085,0.485085,2190824
2023-06-02,0.485259,0.493088,0.479887,0.488232,0.488232,2589880
2023-06-03,0.488288,0.505078,0.485899,0.492528,0.492528,3468895
2023-06-04,0.492608,0.506198,0.488658,0.499631,0.499631,2149941
2023-06-05,0.499538,0.516333,0.418489,0.430442,0.430442,15538497
2023-06-06,0.430504,0.450892,0.415669,0.445977,0.445977,6180858
2023-06-07,0.445919,0.446121,0.402176,0.404558,0.404558,5538764
2023-06-08,0.404603,0.421983,0.400450,0.408601,0.408601,4128856
2023-06-09,0.408515,0.416625,0.400598,0.403272,0.403272,3669759
2023-06-10,0.403234,0.403470,0.237886,0.285776,0.285776,24077741
2023-06-11,0.285823,0.286866,0.265347,0.266176,0.266176,6565936
2023-06-12,0.266093,0.268302,0.257106,0.263907,0.263907,5823001
2023-06-13,0.263914,0.279853,0.261704,0.270316,0.270316,7548837
2023-06-14,0.270316,0.275111,0.254688,0.257880,0.257880,4667331
2023-06-15,0.257836,0.271171,0.257646,0.268166,0.268166,3936362
2023-06-16,0.268150,0.273050,0.264063,0.271760,0.271760,3073977
2023-06-17,0.271807,0.286295,0.270882,0.279091,0.279091,3400662
2023-06-18,0.279080,0.282645,0.273242,0.273588,0.273588,2882202
2023-06-19,0.273614,0.279617,0.272647,0.278623,0.278623,2707713
2023-06-20,0.278620,0.287286,0.272502,0.287243,0.287243,3064246
