Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2022-11-29,0.0089269997552037,0.0091939996927976,0.0086359996348619,0.0089440001174807,3068581,0.0,0.0,0.1904375797376931,0.0019043757973769
2022-11-30,0.0089379996061325,0.0089840004220604,0.0086260000243783,0.0087000001221895,2836612,0.0,0.0,-2.662782439369386,-0.0266278243936938
2022-12-01,0.0087019996717572,0.00874700024724,0.007957000285387,0.0082890000194311,3231810,0.0,0.0,-4.7460315778511495,-0.0474603157785114
2022-12-02,0.0082890000194311,0.0082980003207921,0.0071959998458623,0.0072070001624524,2832548,0.0,0.0,-13.053442567767796,-0.1305344256776779
2022-12-03,0.0072099999524652,0.0076410002075135,0.006541000213474,0.0066720000468194,2628729,0.0,0.0,-7.46185727035755,-0.0746185727035755
2022-12-04,0.0066800001077353,0.0074900002218782,0.0066800001077353,0.0072409999556839,2634566,0.0,0.0,8.39820118114929,0.0839820118114929
2022-12-05,0.0072470000013709,0.0083240000531077,0.0071129999123513,0.0081620002165436,2395757,0.0,0.0,12.625917138120755,0.1262591713812075
2022-12-06,0.0081550003960728,0.0083170002326369,0.0073970002122223,0.0076310001313686,2582059,0.0,0.0,-6.42550875848569,-0.0642550875848569
2022-12-07,0.0076330001465976,0.0079709999263286,0.0074149998836219,0.0074729998596012,2054252,0.0,0.0,-2.0961651241120447,-0.0209616512411204
2022-12-08,0.0074749998748302,0.0075719999149441,0.0070810001343488,0.0073219998739659,2270134,0.0,0.0,-2.046822788311763,-0.0204682278831176
2022-12-09,0.0073219998739659,0.0076859998516738,0.0070949997752904,0.0073629999533295,2145429,0.0,0.0,0.5599573896385877,0.0055995738963858
2022-12-10,0.0073569999076426,0.0076279998756945,0.0072340001352131,0.0072610001079738,2038949,0.0,0.0,-1.3048769997818492,-0.0130487699978184
2022-12-11,0.0072610001079738,0.0073620001785457,0.0069240001030266,0.0069650001823902,1811882,0.0,0.0,-4.07657238922972,-0.0407657238922972
2022-12-12,0.006963999941945,0.007135999854654,0.0066650002263486,0.0069160000421106,2007756,0.0,0.0,-0.689257613936648,-0.0068925761393664
2022-12-13,0.0069129997864365,0.006972000002861,0.0060109999030828,0.0062270001508295,2272996,0.0,0.0,-9.923327886584786,-0.0992332788658478
2022-12-14,0.0062239998951554,0.0067630000412464,0.0060259997844696,0.0061229998245835,1960779,0.0,0.0,-1.6227518038764124,-0.0162275180387641
2022-12-15,0.0061209998093545,0.0062339999713003,0.0056750001385807,0.0056920000351965,1761455,0.0,0.0,-7.008655244562749,-0.0700865524456274
2022-12-16,0.0056960000656545,0.005830000154674,0.005125000141561,0.0052009997889399,2216803,0.0,0.0,-8.690313746647082,-0.0869031374664708
2022-12-17,0.0052009997889399,0.0060749999247491,0.0049740001559257,0.0060689998790621,1864061,0.0,0.0,,0.1668910066037748
2022-12-18,0.0060689998790621,0.0063229999504983,0.0056300000287592,0.0056650000624358,1909398,0.0,0.0,-6.656777470371837,-0.0665677747037183
2022-12-19,0.0056699998676776,0.00583800021559,0.0050730002112686,0.0052749998867511,1776499,0.0,0.0,-6.9664901260092895,-0.0696649012600928
2022-12-20,0.0052720000967383,0.0053240000270307,0.0049330000765621,0.0051429998129606,1714059,0.0,0.0,-2.4468945639342885,-0.0244689456393428
2022-12-21,0.0051409997977316,0.0056909997947514,0.0051219998858869,0.0055490001104772,1832105,0.0,0.0,7.936205578643,0.07936205578643
2022-12-22,0.0055510001257061,0.0057749999687075,0.0054130000062286,0.0057560000568628,1640019,0.0,0.0,3.693026959364786,0.0369302695936478
2022-12-23,0.0057529998011887,0.0058200000785291,0.0051699997857213,0.0051939999684691,1638058,0.0,0.0,-9.716666991785711,-0.0971666699178571
2022-12-24,0.0051930001936852,0.0053220000118017,0.0051409997977316,0.0052280002273619,1301650,0.0,0.0,0.6739848328767741,0.0067398483287677
2022-12-25,0.0052249999716877,0.0053539997898042,0.0052029998041689,0.0053019998595118,1339500,0.0,0.0,1.4736820716044678,0.0147368207160446
2022-12-26,0.005301000084728,0.0053610000759363,0.0050139999948441,0.0051159998401999,1386312,0.0,0.0,-3.4899121216971807,-0.0348991212169718
2022-12-27,0.0051139998249709,0.005123000126332,0.0046210000291466,0.0049270000308752,1712336,0.0,0.0,-3.6566249608106713,-0.0365662496081067
